param	start	end
--extrusion-barrier-occupancy	0.5	1.0
--extrusion-barrier-not-bound-stp	0.0	1.0
--resolution	5000	5000
--target-contact-density	1.0	1.0
--ncells	16	16
--contact-sampling-strategy	loop-only-with-noise	loop-only-with-noise
